Рейтинг регионов по количеству объявлений о продаже,Изменение рейтинга регионов по количеству объявлений о продаже,Регион,Активных объявлений о продаже,"Активных объявлений, вторичка","Активных объявлений, новостройки","Средняя стоимость м², вторичка","Средняя стоимость м², новостройки","Средний срок экспозиции, вторичка, дней",Рейтинг регионов по количеству заявок на кредит,Изменение рейтинга регионов по количеству заявок на кредит,Минимальное количество одобренных заявок,Доля онлайн-заявок,Доля заявок в офисе банка,"Доля заявок, новостройки","Доля заявок, вторичка","Средний срок одобрения, мин",Рейтинг по количеству ипотечных сделок,Изменение рейтинга по количеству ипотечных сделок,Минимальное количество ипотечных сделок,"Доля сделок, новостройки","Доля сделок, вторичка",Доля сделок с риелтором,"Средний срок сделки, новостройки, дней","Средний срок сделки, вторичка"
12,0,Ставропольский Край,46750,21209,6673,91667,87051,45.9166666666667,18,-2,1000,46%,54%,12%,64%,1,18,-1,1000,23%,72%,90%,19.4166666666667,36.7916666666667
13,2,Челябинская Область,32960,13108,7711,61111,86095,58.625,12,-1,5000,40%,60%,10%,73%,1,8,0,1000,8%,88%,90%,19.875,32.375
14,-1,Калининградская Область,32314,14065,8163,107411,113072,72.75,52,1,1000,46%,54%,15%,59%,1,61,-7,100,21%,72%,82%,21.9166666666667,31.1666666666667
15,-1,Воронежская Область,31087,16266,5867,88205,89000,68.7916666666667,21,0,1000,39%,61%,19%,59%,1,22,0,1000,26%,71%,85%,16.9166666666667,33.1666666666667
16,0,Иркутская Область,30416,10459,4551,76497,121860,65.5,15,0,1000,50%,50%,10%,70%,1,14,0,1000,16%,80%,89%,19.2083333333333,35.7916666666667
17,1,Белгородская Область,30283,12812,1581,83729,89961,86.1666666666667,47,-5,1000,42%,58%,10%,77%,1,47,2,500,13%,83%,86%,18,35.0833333333333
18,-1,Удмуртская Республика,30142,12143,12835,73695,89904,57.875,16,1,1000,31%,69%,14%,61%,1,20,-2,1000,32%,63%,91%,20.6666666666667,39
19,0,Красноярский Край,29206,13495,6393,93143,94126,52.2916666666667,14,-1,5000,50%,50%,11%,72%,1,10,1,1000,17%,80%,87%,23.2083333333333,34
20,1,Ханты-Мансийский Автономный округ - Югра,28799,16472,4867,100258,101738,80.7916666666667,19,-1,1000,47%,53%,11%,68%,1,16,-3,1000,24%,74%,86%,15.375,33.4583333333333
21,-1,Нижегородская Область,27468,13177,4869,101075,126879,74.625,10,0,5000,34%,66%,8%,75%,1,17,3,1000,16%,79%,87%,21.9583333333333,32.25
