Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M0,1974-04-30T00:00:00,101743,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-05-31T00:00:00,102777,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-06-30T00:00:00,103597,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-07-31T00:00:00,105054,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-08-31T00:00:00,105046,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-09-30T00:00:00,105292,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-10-31T00:00:00,105704,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-11-30T00:00:00,106933,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-12-31T00:00:00,108640,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-01-31T00:00:00,107745,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-02-28T00:00:00,105511,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-03-31T00:00:00,105693,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-04-30T00:00:00,106816,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-05-31T00:00:00,106989,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-06-30T00:00:00,108423,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-07-31T00:00:00,109501,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-08-31T00:00:00,109092,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-09-30T00:00:00,109203,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-10-31T00:00:00,109675,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-11-30T00:00:00,111096,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1975-12-31T00:00:00,113125,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-01-31T00:00:00,111925,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-02-29T00:00:00,110558,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-03-31T00:00:00,111255,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-04-30T00:00:00,113093,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-05-31T00:00:00,113566,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-06-30T00:00:00,114411,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-07-31T00:00:00,115579,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-08-31T00:00:00,115533,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-09-30T00:00:00,115573,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-10-31T00:00:00,116554,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-11-30T00:00:00,118343,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1976-12-31T00:00:00,120337,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-01-31T00:00:00,119677,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-02-28T00:00:00,117818,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-03-31T00:00:00,118719,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-04-30T00:00:00,120646,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-05-31T00:00:00,120979,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-06-30T00:00:00,121804,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-07-31T00:00:00,124091,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-08-31T00:00:00,124180,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-09-30T00:00:00,124425,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1977-10-31T00:00:00,125749,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
